Chris Christie,0.01,2016-03-12.15:07:56
Scott Walker,0.01,2016-03-12.15:07:56
Sarah Palin,0.01,2016-03-12.15:07:56
Lindsey Graham,0.01,2016-03-12.15:07:56
Mike Huckabee,0.01,2016-03-12.15:07:56
Bobby Jindal,0.01,2016-03-12.15:07:56
Rick Perry,0.01,2016-03-12.15:07:56
Rick Santorum,0.01,2016-03-12.15:07:56
Susana Martinez,0.01,2016-03-12.15:07:56
Ben Carson,0.01,2016-03-12.15:07:56
Mike Pence,0.01,2016-03-12.15:07:56
Carly Fiorina,0.01,2016-03-12.15:07:56
George Pataki,0.01,2016-03-12.15:07:56
Donald Trump,0.70,2016-03-12.17:30:04
Ted Cruz,0.16,2016-03-12.17:30:04
John Kasich,0.10,2016-03-12.17:30:04
Mitt Romney,0.05,2016-03-12.17:30:04
Paul Ryan,0.03,2016-03-12.17:30:04
Marco Rubio,0.03,2016-03-12.17:30:04
Jeb Bush,0.01,2016-03-12.17:30:04
Rand Paul,0.01,2016-03-12.17:30:04
Chris Christie,0.01,2016-03-12.17:30:04
Scott Walker,0.01,2016-03-12.17:30:04
Sarah Palin,0.01,2016-03-12.17:30:04
Lindsey Graham,0.01,2016-03-12.17:30:04
Mike Huckabee,0.01,2016-03-12.17:30:04
Bobby Jindal,0.01,2016-03-12.17:30:04
Rick Perry,0.01,2016-03-12.17:30:04
Rick Santorum,0.01,2016-03-12.17:30:04
Susana Martinez,0.01,2016-03-12.17:30:04
Ben Carson,0.01,2016-03-12.17:30:04
Mike Pence,0.01,2016-03-12.17:30:04
Carly Fiorina,0.01,2016-03-12.17:30:04
George Pataki,0.01,2016-03-12.17:30:04
Donald Trump,0.70,2016-03-12.18:05:15
Ted Cruz,0.16,2016-03-12.18:05:15
John Kasich,0.10,2016-03-12.18:05:15
Mitt Romney,0.05,2016-03-12.18:05:15
Paul Ryan,0.03,2016-03-12.18:05:15
Marco Rubio,0.03,2016-03-12.18:05:15
Jeb Bush,0.01,2016-03-12.18:05:15
Rand Paul,0.01,2016-03-12.18:05:15
Chris Christie,0.01,2016-03-12.18:05:15
Scott Walker,0.01,2016-03-12.18:05:15
Sarah Palin,0.01,2016-03-12.18:05:15
Lindsey Graham,0.01,2016-03-12.18:05:15
Mike Huckabee,0.01,2016-03-12.18:05:15
Bobby Jindal,0.01,2016-03-12.18:05:15
Rick Perry,0.01,2016-03-12.18:05:15
Rick Santorum,0.01,2016-03-12.18:05:15
Susana Martinez,0.01,2016-03-12.18:05:15
Ben Carson,0.01,2016-03-12.18:05:15
Mike Pence,0.01,2016-03-12.18:05:15
Carly Fiorina,0.01,2016-03-12.18:05:15
George Pataki,0.01,2016-03-12.18:05:15
Donald Trump,0.70,2016-03-12.19:17:11
Ted Cruz,0.16,2016-03-12.19:17:11
John Kasich,0.10,2016-03-12.19:17:11
Mitt Romney,0.05,2016-03-12.19:17:11
Paul Ryan,0.03,2016-03-12.19:17:11
Marco Rubio,0.03,2016-03-12.19:17:11
Jeb Bush,0.01,2016-03-12.19:17:11
Rand Paul,0.01,2016-03-12.19:17:11
Chris Christie,0.01,2016-03-12.19:17:11
Scott Walker,0.01,2016-03-12.19:17:11
Sarah Palin,0.01,2016-03-12.19:17:11
Lindsey Graham,0.01,2016-03-12.19:17:11
Mike Huckabee,0.01,2016-03-12.19:17:11
Bobby Jindal,0.01,2016-03-12.19:17:11
Rick Perry,0.01,2016-03-12.19:17:11
Rick Santorum,0.01,2016-03-12.19:17:11
Susana Martinez,0.01,2016-03-12.19:17:11
Ben Carson,0.01,2016-03-12.19:17:11
Mike Pence,0.01,2016-03-12.19:17:11
Carly Fiorina,0.01,2016-03-12.19:17:11
George Pataki,0.01,2016-03-12.19:17:11
Donald Trump,0.70,2016-03-12.19:24:43
Ted Cruz,0.16,2016-03-12.19:24:43
John Kasich,0.10,2016-03-12.19:24:43
Mitt Romney,0.05,2016-03-12.19:24:43
Paul Ryan,0.03,2016-03-12.19:24:43
Marco Rubio,0.03,2016-03-12.19:24:43
Jeb Bush,0.01,2016-03-12.19:24:43
Rand Paul,0.01,2016-03-12.19:24:43
Chris Christie,0.01,2016-03-12.19:24:43
Scott Walker,0.01,2016-03-12.19:24:43
Sarah Palin,0.01,2016-03-12.19:24:43
Lindsey Graham,0.01,2016-03-12.19:24:43
Mike Huckabee,0.01,2016-03-12.19:24:43
Bobby Jindal,0.01,2016-03-12.19:24:43
Rick Perry,0.01,2016-03-12.19:24:43
Rick Santorum,0.01,2016-03-12.19:24:43
Susana Martinez,0.01,2016-03-12.19:24:43
Ben Carson,0.01,2016-03-12.19:24:43
Mike Pence,0.01,2016-03-12.19:24:43
Carly Fiorina,0.01,2016-03-12.19:24:43
George Pataki,0.01,2016-03-12.19:24:43
Donald Trump,0.70,2016-03-12.21:15:57
Ted Cruz,0.16,2016-03-12.21:15:57
John Kasich,0.10,2016-03-12.21:15:57
Marco Rubio,0.03,2016-03-12.21:15:57
Mitt Romney,0.05,2016-03-12.21:15:57
Paul Ryan,0.03,2016-03-12.21:15:57
Jeb Bush,0.01,2016-03-12.21:15:57
Rand Paul,0.01,2016-03-12.21:15:57
Chris Christie,0.01,2016-03-12.21:15:57
Scott Walker,0.01,2016-03-12.21:15:57
Sarah Palin,0.01,2016-03-12.21:15:57
Lindsey Graham,0.01,2016-03-12.21:15:57
Mike Huckabee,0.01,2016-03-12.21:15:57
Bobby Jindal,0.01,2016-03-12.21:15:57
Rick Perry,0.01,2016-03-12.21:15:57
Rick Santorum,0.01,2016-03-12.21:15:57
Susana Martinez,0.01,2016-03-12.21:15:57
Ben Carson,0.01,2016-03-12.21:15:57
Mike Pence,0.01,2016-03-12.21:15:57
Carly Fiorina,0.01,2016-03-12.21:15:57
George Pataki,0.01,2016-03-12.21:15:57
Donald Trump,0.69,2016-03-12.23:06:01
Ted Cruz,0.17,2016-03-12.23:06:01
John Kasich,0.11,2016-03-12.23:06:01
Marco Rubio,0.04,2016-03-12.23:06:01
Mitt Romney,0.04,2016-03-12.23:06:01
Paul Ryan,0.04,2016-03-12.23:06:01
Jeb Bush,0.01,2016-03-12.23:06:01
Rand Paul,0.01,2016-03-12.23:06:01
Chris Christie,0.01,2016-03-12.23:06:01
Scott Walker,0.01,2016-03-12.23:06:01
Sarah Palin,0.01,2016-03-12.23:06:01
Lindsey Graham,0.01,2016-03-12.23:06:01
